OverviewPage,DateStart,Date,Region,Country,EventType,League,DateStart__precision,Date__precision
VCS A/2014 Season/Summer Promotion,2014-05-20,2014-05-22,SEA,Vietnam,Online,Vietnam Championship Series A,1,1
VCS A/2014 Season/Summer Season,2014-06-14,2014-09-24,SEA,Vietnam,Online / Offline,Vietnam Championship Series A,1,1
VCS A/2015 Season/Spring,2014-11-15,2015-04-06,SEA,Vietnam,Online,Vietnam Championship Series A,1,1
VCS A/2015 Season/Spring/Qualifiers,2014-10-06,2014-10-11,SEA,Vietnam,Online,Vietnam Championship Series A,1,1
VCS A/2015 Season/Summer,2015-05-17,2015-08-24,SEA,Vietnam,Online,Vietnam Championship Series A,1,1
VCS A/2016 Season/Spring Playoffs,2016-03-19,2016-03-20,SEA,Vietnam,Online,Vietnam Championship Series A,1,1
VCS A/2016 Season/Spring Promotion,2015-11-21,2015-12-05,SEA,Vietnam,Online,Vietnam Championship Series A,1,1
VCS A/2016 Season/Spring Season,2016-01-15,2016-03-06,SEA,Vietnam,Online,Vietnam Championship Series A,1,1
VCS A/2016 Season/Summer Playoffs,2016-07-30,2016-07-31,SEA,Vietnam,Online,Mountain Dew Championship Series,1,1
VCS A/2016 Season/Summer Promotion,2016-04-27,2016-04-29,SEA,Vietnam,Online,Vietnam Championship Series A,1,1
VCS A/2016 Season/Summer Season,2016-05-20,2016-07-18,SEA,Vietnam,Online,Mountain Dew Championship Series,1,1
VCS A/2017 Season/Spring Playoffs,2017-03-25,2017-04-02,SEA,Vietnam,Online/Offline,Mountain Dew Championship Series,1,1
VCS A/2017 Season/Spring Promotion,2016-12-18,2016-12-18,SEA,Vietnam,Online,Vietnam Championship Series A,1,1
VCS A/2017 Season/Spring Season,2017-02-08,2017-03-19,SEA,Vietnam,Online/Offline,Mountain Dew Championship Series,1,1
VCS A/2017 Season/Summer Playoffs,2017-08-09,2017-08-13,SEA,Vietnam,Online/Offline,Mountain Dew Championship Series,1,1
VCS A/2017 Season/Summer Promotion,2017-05-06,2017-05-07,SEA,Vietnam,Online,Vietnam Championship Series A,1,1
VCS A/2017 Season/Summer Season,2017-06-07,2017-08-06,SEA,Vietnam,Online/Offline,Mountain Dew Championship Series,1,1
VCS All-Star 2018,2018-11-24,2018-11-25,Vietnam,Vietnam,Offline,All-Star Las Vegas 2018,1,1
VCS B/2013 Season/Winter Series 1,2013-11-10,2013-11-24,SEA,Vietnam,Online,Vietnam Championship Series B,1,1
VCS B/2013 Season/Winter Series 2,2013-12-08,2013-12-22,SEA,Vietnam,Online,Vietnam Championship Series B,1,1
VCS B/2014 Season/Summer Series 1,2014-06-15,2014-07-21,SEA,Vietnam,Online,Vietnam Championship Series B,1,1
VCS B/2014 Season/Summer Series 2,2014-08-03,2014-09-14,SEA,Vietnam,Online,Vietnam Championship Series B,1,1
VCS B/2017 Season/Winter Round I,2017-11-05,2017-11-05,Vietnam,Vietnam,Online,,1,1
VCS B/2017 Season/Winter Round II,2017-11-12,2017-11-12,Vietnam,Vietnam,Online,,1,1
VCS B/2017 Season/Winter Round III,2017-11-18,2017-11-19,Vietnam,Vietnam,Online,,1,1
VCS B/2018 Season/Summer Round I,2018-04-08,2018-04-08,Vietnam,Vietnam,Offline,Vietnam Championship Series B,1,1
VCS B/2018 Season/Summer Round II,2018-04-16,2018-04-16,Vietnam,Vietnam,Online,Vietnam Championship Series B,1,1
VCS B/2018 Season/Summer Round III,2018-04-21,2018-04-21,Vietnam,Vietnam,Online,Vietnam Championship Series B,1,1
VCS B/2018 Season/Summer Round IV,2018-04-22,2018-04-28,Vietnam,Vietnam,Offline,Vietnam Championship Series B,1,1
VCS B/2018 Season/Winter Round I,2018-10-14,2018-10-14,Vietnam,Vietnam,Offline,Vietnam Championship Series B,1,1
VCS B/2018 Season/Winter Round II,2018-10-21,2018-10-21,Vietnam,Vietnam,Online,Vietnam Championship Series B,1,1
VCS B/2018 Season/Winter Round III,2018-10-28,2018-10-28,Vietnam,Vietnam,Online,Vietnam Championship Series B,1,1
VCS B/2018 Season/Winter Round IV,2018-11-04,2018-11-11,Vietnam,Vietnam,Offline,Vietnam Championship Series B,1,1
VCS B/2019 Season/Spring Round I,2019-03-30,2019-03-30,Vietnam,Vietnam,Online,Vietnam Championship Series B,1,1
VCS B/2019 Season/Spring Round II,2019-03-31,2019-04-07,Vietnam,Vietnam,Online,Vietnam Championship Series B,1,1
VCS B/2019 Season/Winter Round I,2019-11-10,2019-11-10,Vietnam,Vietnam,Offline,Vietnam Championship Series B,1,1
VCS B/2019 Season/Winter Round II,2019-11-17,2019-11-17,Vietnam,Vietnam,Offline,Vietnam Championship Series B,1,1
VCS B/2019 Season/Winter Round III,2019-11-23,2019-11-24,Vietnam,Vietnam,Offline,Vietnam Championship Series B,1,1
VCS B/2020 Season/Summer Season,2020-04-15,2020-04-20,Vietnam,Vietnam,Online,Vietnam Championship Series B,1,1
